link,like_count,name
https://www.pixiv.net/novel/show.php?id=19850037,144,シンボリクリスエスに担当を乗り換えられると思い、トレーナーに縋り付くメジロラモーヌ
https://www.pixiv.net/novel/show.php?id=19849930,120,トレーナー君の事が大大大好きなアグネスタキオンの話
https://www.pixiv.net/novel/show.php?id=19849380,144,ダイヤちゃん。子猫にトレーナーを取られそうになる。
https://www.pixiv.net/novel/show.php?id=19848156,113,殺したいほど愛してる
https://www.pixiv.net/novel/show.php?id=19848054,118,サクラローレルに誕生日プレゼントをあげるトレーナーの話
https://www.pixiv.net/novel/show.php?id=19848010,259,華麗なる宝石と魔性の至宝に愛されて大変なことになるお話
https://www.pixiv.net/novel/show.php?id=19847931,152,お兄ちゃんの事が大大大好きなカレンチャンの話
https://www.pixiv.net/novel/show.php?id=19847174,205,トプロは依存されたい
https://www.pixiv.net/novel/show.php?id=19845867,148,お見合いをきっかけに色々と剥き出しになるお嬢のお話
https://www.pixiv.net/novel/show.php?id=19845424,104,ＤＶローレルを嫌いになれない
https://www.pixiv.net/novel/show.php?id=19843563,213,トレ「記憶にあるものの好感度がわかるメガネ？」
https://www.pixiv.net/novel/show.php?id=19842185,149,アドマイヤベガと見上げる曇天
https://www.pixiv.net/novel/show.php?id=19842161,430,スズカの発情期を無視してしまったトレーナー
https://www.pixiv.net/novel/show.php?id=19842090,191,愛が重い担当と別れようとしたトレーナー達の末路
https://www.pixiv.net/novel/show.php?id=19842062,388,好感度MAXのダイイチルビーに差し切られて取り込まれるお話
https://www.pixiv.net/novel/show.php?id=19842028,293,逆NTR妄想にハマってしまったナリタトップロード
https://www.pixiv.net/novel/show.php?id=19842017,176,ツインターボはトレーナーが死んじゃう夢を見る話
https://www.pixiv.net/novel/show.php?id=19841989,210,生徒会の三人が自身のトレーナー達に自白剤を使うようです。
https://www.pixiv.net/novel/show.php?id=19840695,137,自分より身長の高い担当に好き勝手される
https://www.pixiv.net/novel/show.php?id=19840163,144,ねぇ、トレーナーさん。私恋してしまったみたいなの。
https://www.pixiv.net/novel/show.php?id=19839191,107,カレンチャンがカワイイので今日も死ねない
https://www.pixiv.net/novel/show.php?id=19835954,108,ただダイイチルビーといちゃつくだけの話
https://www.pixiv.net/novel/show.php?id=19835186,113,結婚後に身を寄せ合い星を眺めるアヤベ夫妻
https://www.pixiv.net/novel/show.php?id=19834139,178,サクラローレルとイチャイチャするだけ
https://www.pixiv.net/novel/show.php?id=19833817,352,メジロのお嬢様方「うわっ……私(のトレーナー)の年収、低すぎ……？」
https://www.pixiv.net/novel/show.php?id=19833764,227,ミラクルがメンヘラなんてもんじゃない
https://www.pixiv.net/novel/show.php?id=19833588,149,結婚三年目新妻マチカネタンホイザの欲しいもの
https://www.pixiv.net/novel/show.php?id=19832811,120,後輩ウマ娘に好かれたことを話したらヤンデレネイチャの責任を取ることになった。
https://www.pixiv.net/novel/show.php?id=19832533,463,風邪を引いたトレーナーを泊まり込みで看病するアドマイヤベガ
https://www.pixiv.net/novel/show.php?id=19832458,178,ジョーダン『トレーナーの反応がめっちゃカワイイ』
